,Short _Name,Long_Name,Short_Description,Long_Description,Data_Source
16,r47_2000,Population_2000,Total Population,Total population,U.S. Census Bureau 2000 Census
17,m2_2017,Age_of_Residents_2017,Median age of residents (Years),"Median age of residents as estimated in the American Community Survey. When a Neighborhood Profile Area is comprised of more than one block group, the median age is calculated by linear interpolation from a range of ages published in the American Community Survey. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
18,m2_moe_2017,Age_of_Residents_moe_2017,Margin of Error (Years),"The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error. The margin of error is not calculated for NPA's that are comprised of more than one block group. When combining NPA's, this variable should be used with caution. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
19,m12_2017,Youth_Population_2017,Percentage of the population under the age of 18,Population under age 18 divided by total population,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
20,m12_moe_2017,Youth_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
21,m13_2017,Older_Adult_Population_2017,Percentage of the population age 65 and over,Population age 65 and over divided by total population,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
22,m13_moe_2017,Older_Adult_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
23,m14_2017,White_Population_2017,Percentage of population that is White or Caucasian,Population self-identified as non-Hispanic White or Caucasian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
24,m14_moe_2017,White_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
25,m14_2010,White_Population_2010,Percentage of population that is White or Caucasian,Population self-identified as non-Hispanic White or Caucasian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
26,m14_2016,White_Population_2000,Percentage of population that is White or Caucasian,Population self-identified as non-Hispanic White or Caucasian alone divided by total population.,U.S. Census Bureau 2000 Census
27,m15_2017,Black_Population_2017,Percentage of population that is Black or African American,Population self-identified as non-Hispanic Black or African American alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
28,m15_moe_2017,Black_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
29,m15_2010,Black_Population_2010,Percentage of population that is Black or African American,Population self-identified as non-Hispanic Black or African American alone divided by total population.,U.S. Census Bureau 2010 Census
30,m15_2000,Black_Population_2000,Percentage of population that is Black or African American,Population self-identified as non-Hispanic Black or African American alone divided by total population.,U.S. Census Bureau 2000 Census
31,m16_2016,Asian_Population_2016,Percentage of population that is Asian,Population self-identified as non-Hispanic Asian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
32,m16_moe_2017,Asian_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
33,m16_2010,Asian_Population_2010,Percentage of population that is Asian,Population self-identified as non-Hispanic Asian alone divided by total population.,U.S. Census Bureau 2010 Census
34,m16_2000,Asian_Population_2000,Percentage of population that is Asian,Population self-identified as non-Hispanic Asian alone divided by total population.,U.S. Census Bureau 2000 Census
35,m17_2016,All_Other_Races_2016,Percentage of population of all other races,"Population self-identified as non-Hispanic American Indian, Alaska Native alone, Native Hawaiian, Other Pacific Islander, or Some other race alone and population of Two or more races, divided by total population.","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
36,m17_moe_2016,All_Other_Races_moe_2016,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
37,m17_2010,All_Other_Races_2010,Percentage of population of all other races,"Population self-identified as non-Hispanic American Indian, Alaska Native alone, Native Hawaiian, Other Pacific Islander, or Some other race alone and population of Two or more races, divided by total population.",U.S. Census Bureau 2010 Census
38,m17_2000,All_Other_Races_2000,Percentage of population of all other races,"Population self-identified as non-Hispanic American Indian, Alaska Native alone, Native Hawaiian, Other Pacific Islander, or Some other race alone and population of Two or more races, divided by total population.",U.S. Census Bureau 2000 Census
39,m18_2017,Hispanic_Latino_2017,Percentage of population that is Hispanic/Latino,Population self-identified as Hispanic or Latino divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
40,m18_moe_2017,Hispanic_Latino_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
41,m18_2010,Hispanic_Latino_2010,Percentage of population that is Hispanic/Latino,Population self-identified as Hispanic or Latino divided by total population.,U.S. Census Bureau 2010 Census
42,m18_2000,Hispanic_Latino_2000,Percentage of population that is Hispanic/Latino,Population self-identified as Hispanic or Latino divided by total population.,U.S. Census Bureau 2000 Census
43,m11_2017,Vacant_Land_2018,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2018"
44,r11_2017,Vacant_Land_Area_2018,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2018"
45,m11_2017,Vacant_Land_2017,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2017"
46,r11_2017,Vacant_Land_Area_2017,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2017"
47,m11_2016,Vacant_Land_2016,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2016"
48,r11_2016,Vacant_Land_Area_2016,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2016"
49,m11_2015,Vacant_Land_2015,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2015"
50,r11_2015,Vacant_Land_Area_2015,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2015"
51,m11_2013,Vacant_Land_2013,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, April 2014"
52,r11_2013,Vacant_Land_Area_2013,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, April 2014"
53,m11_2011,Vacant_Land_2011,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, April 2012"
54,r11_2011,Vacant_Land_Area_2011,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, April 2012"
55,Economy,,,,
56,m37_2017,Household_Income_2017,Median household income (Dollars),"Median household income as estimated in the American Community Survey. Median household income is inflation-adjusted to the most recent year of the five-year estimate. When a Neighborhood Profile Area is comprised of more than one block group, the median household income is calculated by linear interpolation from a range of ages published in the American Community Survey. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
57,m37_moe_2017,Household_Income_moe_2017,Margin of Error (Dollars),"The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error. The margin of error is not calculated for NPA's that are comprised of more than one block group. When combining NPA's, this variable should be used with caution. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
58,m80_2018,Public_Nutrition_Assistance_2018,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2016; Population Estimate, 2018"
59,m80_2017,Public_Nutrition_Assistance_2017,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2016; Population Estimate, 2017"
60,m80_2016,Public_Nutrition_Assistance_2016,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2015; Population Estimate, 2016"
61,m80_2015,Public_Nutrition_Assistance_2015,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2014; Population Estimate, 2015"
62,m80_2013,Public_Nutrition_Assistance_2013,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September 2012; Population Estimate, 2013"
63,m80_2011,Public_Nutrition_Assistance_2011,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population.","Mecklenburg County Department of Social Services, August 2011; U.S. Census Bureau 2010 Census"
64,m38_2017,Employment_Rate_2017,Percentage of adults who are employed,Number of individuals ages 16 to 64 that are employed divided by the number of individuals ages 16 to 64 in the labor force.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
65,m38_moe_2017,Employment_Rate_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
66,m75_2015,Job_Density_2015,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2015"
67,r75_2015,Jobs_2015,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2015"
68,m75_2014,Job_Density_2014,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2014"
69,r75_2014,Jobs_2014,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2014"
70,m75_2013,Job_Density_2013,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2013"
71,r75_2013,Jobs_2013,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2013"
72,m75_2012,Job_Density_2012,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2012"
73,r75_2012,Jobs_2012,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2012"
74,m75_2011,Job_Density_2011,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2011"
75,r75_2011,Jobs_2011,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2011"
76,m75_2010,Job_Density_2010,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2010"
77,r75_2010,Jobs_2010,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2010"
78,m75_2009,Job_Density_2009,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2009"
79,r75_2009,Jobs_2009,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2009"
80,m75_2008,Job_Density_2008,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2008"
81,r75_2008,Jobs_2008,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2008"
82,m75_2007,Job_Density_2007,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2007"
83,r75_2007,Jobs_2007,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2007"
84,m75_2006,Job_Density_2006,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2006"
85,r75_2006,Jobs_2006,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2006"
86,m75_2005,Job_Density_2005,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2005"
87,r75_2005,Jobs_2005,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2005"
88,m75_2004,Job_Density_2004,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2004"
89,r75_2004,Jobs_2004,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2004"
90,m75_2003,Job_Density_2003,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2003"
91,r75_2003,Jobs_2003,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2003"
92,m75_2002,Job_Density_2002,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2002"
93,r75_2002,Jobs_2002,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2002"
94,m19_2018,Commercial_Construction_2018,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2017-June, 30 2018"
95,r19_2018,Commercial_Construction_Permitted_Units_2018,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2017-June, 30 2018"
96,m19_2017,Commercial_Construction_2017,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2016-June, 30 2017"
97,r19_2017,Commercial_Construction_Permitted_Units_2017,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2016-June, 30 2017"
98,m19_2016,Commercial_Construction_2016,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2015-June, 30 2016"
99,r19_2016,Commercial_Construction_Permitted_Units_2016,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2015-June, 30 2016"
100,m19_2015,Commercial_Construction_2015,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2014-June, 30 2015"
101,r19_2015,Commercial_Construction_Permitted_Units_2015,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2014-June, 30 2015"
102,m19_2014,Commercial_Construction_2014,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2013-June, 30 2014"
103,r19_2014,Commercial_Construction_Permitted_Units_2014,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2013-June, 30 2014"
104,m19_2013,Commercial_Construction_2013,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2012-June, 30 2013"
105,r19_2013,Commercial_Construction_Permitted_Units_2013,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2012-June, 30 2013"
106,m19_2012,Commercial_Construction_2012,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2011-June 30, 2012"
107,r19_2012,Commercial_Construction_Permitted_Units_2012,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2011-June 30, 2012"
108,m19_2011,Commercial_Construction_2011,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2010-June 30, 2011"
109,r19_2011,Commercial_Construction_Permitted_Units_2011,Number of permitted commercial units ,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2010-June 30, 2011"
110,m41_2018,Commercial_Size_2018,Average square footage of commercial space per parcel,Sum of the heated square footage of developed commercial space zoned for said use divided by the number of parcels with developed commercial space.,"Mecklenburg County Tax Parcels, 2018"
111,r41_2018,Commercial_Size_Total_2018,Total square feet of commercial buildings,"Sum of the heated square footage of developed commercial space. Commercial space includes business, office, industrial and institutional uses, not including religious institutions and schools.","Mecklenburg County Tax Parcels, 2018"
112,m41_2017,Commercial_Size_2017,Average square footage of commercial space per parcel,Sum of the heated square footage of developed commercial space zoned for said use divided by the number of parcels with developed commercial space.,"Mecklenburg County Tax Parcels, 2017"
