OBJECTID,Petition,Petitioner,FromZone,ToZone,Type,SPA,Overlay,INNOV,Acres,PetAcres,Water,Sewer,CityLimit,ZoningMap,ODZ,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Consistent,ProtestPet,Received,Approved,Decision,Hyperlink,Corrective,Propluse,AdminAppr,AdminApprD,AdminApprP,AdminApprC,SFLOTS,THUNITS,CONDOS,APT,TOTUNITS,OFFICE,RETAIL,HOTELRMS,PARKING,OPENSP,ACRESITE,SHAPESTArea,SHAPESTLength,centroid
565714,2007-044,James Bennett ENSI Development Co.,B-2,BD(CD),CD,no,,,4.42,4.42,CMUD,CMUD,YES,123,69,Corridor,Southeast-Transit,Johnson_Garet,Vincent_Kourtnie,Montgomery_Sandra,NO,,2007/01/22 00:00:00+00,2007/06/18 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,155979.12969970703,1615.6619918856056,"{'lng': -80.74840186176513, 'lat': 35.176066181320806}"
565715,1988-040,,I-3,UMUD,,no,,,,,,,,,,,,,,,,,,1988/07/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,460638.40325927734,2890.854571138062,"{'lng': -80.85088710315065, 'lat': 35.22457211096349}"
565716,2006-127,"Westlake Properties, LLC",B-1SCD,CC,CD,no,CR/LW-PA,,22.05,,CMUD,CMUD,YES,"62,67",404,,Northwest,Mccullough_Melony,Howard_John,Keplinger_Tammie,WD,,2006/06/26 00:00:00+00,,Wd, ,,,,,,,,,,,,,,,,,,1362495.5969848633,4854.939674439427,"{'lng': -80.92141943155103, 'lat': 35.29877496149951}"
565717,2005-074,William G. Lisk,B-2,UR-3(CD),CD,no,,,2.5809,1.98,CMUD,CMUD,YES,88,184,,Central,Neely_Cheryl,Howard_John,Drake_Tom,WD, ,2005/02/25 00:00:00+00,,Wd, ,,,,,,,,,,,,,,,,,,112424.19091796875,1756.4689896485174,"{'lng': -80.86055328533054, 'lat': 35.23658202361036}"
565718,2017-040,White Point Partners,I-2,TOD-M,NC,no,none,NO,0.33,0.33,CMUD,CMUD,YES,102,,Corridor,Central,Catherine Mahoney,Goodwin_Alan,Fortune_Solomon,,,2017/01/23 00:00:00+00,2017/05/15 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2017Petitions/Pages/2017-040.aspx,,,,,,,,,,,,,,,,,,19662.10662841797,575.0088740193296,"{'lng': -80.85408974341892, 'lat': 35.218330502300034}"
565719,2019-102,City of Charlotte,I-2,TOD-NC,NC,no,none,NO,1772.0,1772.0,CMUD,CMUD,YES,102,,Corridor,East,Scott Correll,Grant Meacci,Claire Lyte-Graham,,,2019/07/17 08:36:06+00,2019/11/18 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,70764.09521484375,1195.3689749140863,"{'lng': -80.86677027706656, 'lat': 35.20890072050774}"
565720,2017-125,"Eastgroup Properties, L.P.",R-3,I-1(CD),CD,no,Airport Noise,NO,24.23,24.23,CMUD,CMUD,NO,128,,Industrial Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Lyte-Graham_Claire,,,2017/07/21 00:00:00+00,2017/11/20 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2017Petitions/Pages/2017-125.aspx,,Ind,,,,,,,,,,,,,,,,91379.28411865234,1213.1499652646128,"{'lng': -80.95424023635854, 'lat': 35.16507364353449}"
565721,1989-051(C),,R-12,I-2(CD),,no,,,,,,,,,,,,,,,,,,1990/01/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1113079.4573364258,4368.5478026584315,"{'lng': -80.72469902552879, 'lat': 35.32249524911037}"
565722,1996-078,,"I-1(CD), B-1(CD)",INST(CD),,no,,,,,,,,,,,,,,,,,,1996/11/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1003720.5582885742,3981.2458875058715,"{'lng': -80.92009677423643, 'lat': 35.2159823665355}"
565723,2002-085,,R-3,UR-2(CD),,no,,,,,,,,,,,,,,,,,,2002/11/18 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-085%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,439415.10595703125,2745.6159835852873,"{'lng': -80.77971438694993, 'lat': 35.36748503177808}"
565724,2002-143,,"O-2, R-5",UR-2(CD),,no,,,,,,,,,,,,,,,,,,2003/05/27 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-143%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,62908.17004394531,1048.209902070274,"{'lng': -80.84110692637533, 'lat': 35.17256519713323}"
565725,2008-147,Kathy and Sonya Garmon,I-1,I-2(CD),CD,no,,,12.17,12.17,CMUD,CMUD,YES,"67,68",405,Center,Northwest,Wendy Martz,Goodwin_Alan,Lyte-Graham_Claire,NO,,2008/08/25 00:00:00+00,2009/04/20 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,581503.3881225586,3755.7714495299965,"{'lng': -80.90381698396018, 'lat': 35.28579826087416}"
565726,2004-082,Carolyn Hudson et al,R-22MF,R-8,NC,no,,,1.265,0.88,CMUD,CMUD,YES,111,102,,Central,Neely_Cheryl, ,Waldron_Charlotte,WD,Yes,2004/04/27 00:00:00+00,,Wd, ,,,,,,,,,,,,,,,,,,55103.872131347656,994.2355921738413,"{'lng': -80.82255045644709, 'lat': 35.20178927528317}"
565727,2007-107,Lincoln Harris LLC,UMUD,UMUD-O,CD,no,,,5.6,5.6,CMUD,CMUD,YES,102,4,Center,Centercity,Thilo_Dan,Thilo_Dan,Manes_Tim,YES,,2007/06/14 00:00:00+00,2007/10/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,168438.01678466797,1640.950570701135,"{'lng': -80.84111018380891, 'lat': 35.22655367398801}"
565728,2006-031,Boulevard Centro,UMUD,UMUD-O,CD,no,,,,1.12,CMUD,CMUD,YES,102,24,,Northeast-Transit,Cornett_Kathy,Dixon_Bridget,Keplinger_Tammie,YES,,2005/11/28 00:00:00+00,2006/03/20 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,67300.6830444336,1162.6559363541683,"{'lng': -80.83616541183044, 'lat': 35.22514855337046}"
565729,2006-051,"Carpenter Investment and Properties, LLC",B-1,CC,CD,no,,,,72.08,CMUD,CMUD,YES,54,268,,Northeast-Transit,Cornett_Kathy,Dixon_Bridget,Sanders_Sonja,WD,,2006/01/20 00:00:00+00,,Wd, ,,,,,,,,,,,,,,,,,,137796.00177001953,1779.665843560161,"{'lng': -80.70925159757016, 'lat': 35.33614752104335}"
565730,2015-014,"Park Sharon Properties, LLC",R-3,UR-2(CD),CD,no,none,NO,4.66,4.66,CMUD,CMUD,YES,"147, 158",,Wedge,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,,YES,2014/11/21 00:00:00+00,2015/08/24 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2015Petitions/Pages/2015-014.aspx,,Resid12,,,,,,,,,,,,,,,,244471.0849609375,2443.798540867668,"{'lng': -80.8535232023659, 'lat': 35.12372516989452}"
565731,2000-053,,R-20MF,R-3,,no,,,,,,,,,,,,,,,,,,2000/05/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,732601.9580078125,3773.0341833047387,"{'lng': -80.73198529441882, 'lat': 35.263727361857086}"
565732,1993-082C,,R-22MF,R-8,,no,,,,,,,,,,,,,,,,,,1993/10/25 00:00:00+00,App,,,,,,,,,,,,,,,,,,,940923.6756591797,4710.785603813743,"{'lng': -80.88045677748102, 'lat': 35.18920655479824}"
565733,1988-062,,I-1,I-2(CD),,no,,,,,,,,,,,,,,,,,,1988/09/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,65565.23358154297,2490.1878403646524,"{'lng': -80.95436805751032, 'lat': 35.2863478763854}"
565734,1994-048,,UMUD,UMUD-O,,no,,,,,,,,,,,,,,,,,,1994/06/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,186519.80078125,1724.3775110222923,"{'lng': -80.83709877671666, 'lat': 35.223024025128936}"
565735,2019-080,"Seahawk Partner Holdings, LLC",R-5,UR-2(CD),CD,no,none,NO,11.15,11.15,CMUD,CMUD,YES,112,,Corridor,South,Scott Correll,Grant Meacci,John Kinley,,,2019/05/07 00:00:00+00,2020/02/17 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-080.aspx,,,,,,,,,,,,,,,,,,269681.1287841797,2387.576477771319,"{'lng': -80.78760566881678, 'lat': 35.19702069171946}"
565736,2002-078,,"R-12MF(CD), R-20MF(INNOV)",R-5(CD),,no,,,,,,,,,,,,,,,,,,2002/09/17 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-078%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,1360368.294494629,5438.111013397788,"{'lng': -80.89326083724909, 'lat': 35.29124544004502}"
565737,1988-042,,R-9MF,O-15(CD),,no,,,,,,,,,,,,,,,,,,1988/08/15 00:00:00+00,App,,,,,9/4/2002,,,,,,,,,,,,,,71927.33874511719,1170.0357757966685,"{'lng': -80.73361304977331, 'lat': 35.23414089609837}"
565738,2019-102,City of Charlotte,I-2,TOD-NC,NC,no,none,NO,1772.0,1772.0,CMUD,CMUD,YES,110,,Corridor,East,Scott Correll,Grant Meacci,Claire Lyte-Graham,,,2019/07/17 08:36:06+00,2019/11/18 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,34749.28942871094,763.5548297078664,"{'lng': -80.86367252468959, 'lat': 35.20490141043583}"
565739,1993-069D,,O-2,R-17MF,,no,,,,,,,,,,,,,,,,,,1993/10/11 00:00:00+00,App,,,,,,,,,,,,,,,,,,,193566.3784790039,2956.9398609389036,"{'lng': -80.86467276187311, 'lat': 35.20036138144955}"
565740,2004-062,Charlotte-Mecklenburg Board of Education,I-2,MUDD-O,CD,no,,,2.3531,34.87,CMUD,CMUD,YES,110,153,,Central,Neely_Cheryl,Howard_John,Sanders_Sonja,YES, ,2004/03/22 00:00:00+00,2004/07/19 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2004/2004-062%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,102501.6635131836,1442.956882934823,"{'lng': -80.87548731768383, 'lat': 35.20206822461185}"
565741,1987-036(C),,,R-15MF(CD),, ,,,,,,,,,,,,,,,,,,1987/08/17 00:00:00+00,,,,,,,,,,,,,,,,,,,,634985.0349121094,4198.783943912758,"{'lng': -80.73331360080165, 'lat': 35.262988550286806}"
565742,1998-024(C),,"R-12PUD, O-15(CD)",R-5(CD),,no,,,,,,,,,,,,,,,,,,1998/07/14 00:00:00+00,App,,,,,,,,,,,,,,,,,,,793075.2188110352,5524.380342732072,"{'lng': -80.66053688190395, 'lat': 35.25389061746313}"
565743,1985-055,,,B-2,, ,,,,,,,,,,,,,,,,,,1985/09/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,16851.046264648438,549.2782661568335,"{'lng': -80.79608197714758, 'lat': 35.21750988705876}"
565744,2018-169,Charlotte Planning Design & Development Department,TOD-M,TOD-CC,NC,no,,,,8.4,CMUD,CMUD,YES,110,157,,South-Transit,Harmon_Laura,Howard_John,Barley_David,YES,,2018/12/14 00:00:00+00,2019/04/15 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,467714.3746948242,2801.813641603954,"{'lng': -80.87464340518177, 'lat': 35.19367064475343}"
565745,1992-043,,"R-5, B-1(CD)",R-22MF,,no,,,,,,,,,,,,,,,,,,1992/08/24 00:00:00+00,App,,,,,,,,,,,,,,,,,,,40324.82781982422,908.5391886760771,"{'lng': -80.84231798324019, 'lat': 35.24781633376688}"
565746,1987-010,,,UMUD,, ,,,,,,,,,,,,,,,,,,1987/02/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,162952.6446533203,1675.6613367453233,"{'lng': -80.8529771635884, 'lat': 35.216735367587674}"
565747,1987-055,,,B-1(CD),, ,,,,,,,,,,,,,,,,,,1987/10/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,61893.62286376953,1032.928826131735,"{'lng': -80.85133256096836, 'lat': 35.172425486926876}"
565748,2006-134,Charlotte Retirement Residence LLC,R-3,INST(CD),CD,no,,,9.2,9.2,CMUD,CMUD,YES,"158, 167",120,,South,Main_Kent,Vincent_Kourtnie,Drake_Tom,YES,,2006/07/12 00:00:00+00,2006/12/18 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,404517.71197509766,3059.8404826489423,"{'lng': -80.83807410393914, 'lat': 35.10189307523207}"
565749,1999-076,,R-4,I-1,,no,,,,,,,,,,,,,,,,,,1999/09/23 00:00:00+00,App,,,,,,,,,,,,,,,,,,,84747.78723144531,1190.9815594256493,"{'lng': -80.80312251888395, 'lat': 35.281570982787045}"
565750,1985-079,,,I-1(CD),, ,,,,,,,,,,,,,,,,,,1987/09/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,381934.10552978516,3111.0882800024096,"{'lng': -80.8388546243019, 'lat': 35.23939827443001}"
565751,2008-022,Centex Homes,BP(CD),MX-2(INNOV),CD,no,,,31.02,31.02,CMUD,CMUD,YES,"127,133",163,Wedge,Southwest,Gonzalez_Alberto,Urban Design Team,Manes_Tim,WD,,2007/10/31 00:00:00+00,,Wd, ,,,,,,,,,,,,,,,,,,1332244.8284301758,6110.482556608799,"{'lng': -80.90784100027174, 'lat': 35.16434320973565}"
565752,1996-048(C),,R-22MF,I-1(CD),,no,,,,,,,,,,,,,,,,,,1997/02/04 00:00:00+00,App,,,,,,,,,,,,,,,,,,,3702853.9180908203,11295.487643253415,"{'lng': -80.91498359228113, 'lat': 35.199799098182524}"
565753,1993-095A,,R-22MF,R-8,,no,,,,,,,,,,,,,,,,,,1993/11/08 00:00:00+00,App,,,,,,,,,,,,,,,,,,,402676.2371826172,4287.038481488722,"{'lng': -80.86165069279193, 'lat': 35.250270755054814}"
565754,2013-012,"Kinsale Properties, LLC",B-2,I-2(CD),CD,no,None,NO,1.22,1.48,,,,,,,,Cornett_Kathy,Jones_Michelle,Fortune_Solomon,,,2012/11/26 00:00:00+00,2013/04/15 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2013Petitions/Pages/2013-012.aspx,NO,Ind,,,,,,,,,,,,,,,,91297.13427734375,1266.11564442927,"{'lng': -80.83511263321569, 'lat': 35.275281224949715}"
565755,2018-149,"West End Investments, LLC",B-1 PED,MUDD-O PED,CD,no,PED-O,NO,4.13,4.13,CMUD,CMUD,YES,88,,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,,,2018/11/21 09:17:13+00,2019/04/15 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-149.aspx,,,,,,,,,,,,,,,,,,142875.96124267578,1686.417785581083,"{'lng': -80.85898322264273, 'lat': 35.239484465700286}"
565756,1986-077,,,R-12,, ,,,,,,,,,,,,,,,,,,1986/08/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,759717.7750244141,4658.098604516338,"{'lng': -80.927123151577, 'lat': 35.245900734768675}"
565757,1988-044,,R-15MF(CD),R-20MF(INNOV),,no,,,,,,,,,,,,,,,,,,1988/07/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,320391.05822753906,2997.56216023022,"{'lng': -80.7415162803048, 'lat': 35.218954860116575}"
565758,2018-115,"JDSI, LLC",R-3,R-4,NC,no,none,NO,20.08,20.08,CMUD,CMUD,NO,50,,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,,,2018/08/29 00:00:00+00,2019/02/18 09:11:59+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-115.aspx,,,,,,,,,,,,,,,,,,891412.628112793,5983.719327567213,"{'lng': -80.87163584371963, 'lat': 35.333059676365195}"
565759,1998-027(C),,R-3,CC,,no,,,,,,,,,,,,,,,,,,1998/08/11 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1630221.765625,7035.088372741367,"{'lng': -80.79067057955015, 'lat': 35.36654055862653}"
565760,1990-041,,R-9,R-9MF(CD),,no,,,,,,,,,,,,,,,,,,1990/07/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,17225.885009765625,616.0587840502533,"{'lng': -80.75153905561334, 'lat': 35.221477366771154}"
565761,2019-102,City of Charlotte,B-2(CD),TOD-CC,NC,no,none,NO,1772.0,1772.0,CMUD,CMUD,YES,71,,Corridor,East,Travis Johnson,Grant Meacci,Will Linville,,,2019/07/17 11:05:10+00,2019/11/18 08:16:11+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,155373.40887451172,1915.8999498930684,"{'lng': -80.76117120841482, 'lat': 35.28532644310674}"
565762,2006-035,Charlotte-Mecklenburg Planning Commission,I-2,INST,NC,no,,,,83.0,CMUD,CMUD,YES,88,,,Central,Neely_Cheryl,Howard_John,Howard_John,YES,,2005/12/07 00:00:00+00,2006/04/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,451669.9776611328,2926.463177328332,"{'lng': -80.85246516799944, 'lat': 35.242673924954595}"
565763,2015-087,"Cresent Communities, LLC",R-3,MUDD-O,CD,no,none,NO,38.3,38.3,CMUD,CMUD,NO,180,,Mixed Use Activity Center,South,Main_Kent,Dixon_Bridget,John Kinley,,NO,2015/04/27 00:00:00+00,2015/10/19 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2015Petitions/Pages/2015-087.aspx,NO,Res_Off_Retail,,,,,,,,,,,,,,,,1247138.3938598633,5816.704317324758,"{'lng': -80.76764488975078, 'lat': 35.055364532889456}"
565764,1998-056(C),,R-3,R-8MF(CD),,no,LWPA; LWCA,,,,,,,,,,,,,,,,,1998/11/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,120483.32470703125,1495.0061872293172,"{'lng': -80.9563872628031, 'lat': 35.324890658696326}"
565765,1986-109,,,R-15,, ,,,,,,,,,,,,,,,,,,1986/12/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,136722.93701171875,2062.1859043554155,"{'lng': -80.7916514900126, 'lat': 35.155470649623076}"
565766,2018-043,Pike Nurseries,CC(CD),CC(CD),CD,SPA,none,NO,5.85,5.85,CMUD,CMUD,YES,38,,Mixed Use Activity Center,North,,,,,,2018/03/21 00:00:00+00,2018/08/27 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-043.aspx,,,,,,,,,,,,,,,,,,291712.15295410156,2408.300147247806,"{'lng': -80.78565225034276, 'lat': 35.370618025180335}"
565767,1988-038(C),,B-1(CD),B-1(CD),,SPA,,,,,,,,,,,,,,,,,,1988/08/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,450731.298828125,2705.4233321771285,"{'lng': -80.86202899948155, 'lat': 35.039865545989755}"
565768,2014-026,Abigail Jennings: Pioneer Springs Community School,B-2(CD),B-2(CD),CD,SPA,none,NO,1.68,1.68,CMUD,CMUD,YES,43,,Wedge,Northeast,,Goodwin_Alan,Lyte-Graham_Claire,,NO,2013/12/23 00:00:00+00,2014/03/17 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-026.aspx,,Inst,,,,,,,,,,,,,,,,29802.889526367188,706.9946442374112,"{'lng': -80.8229564729172, 'lat': 35.34658500072728}"
565769,2008-032,Myers Park Homeowners Assoc,R-22MF,R-8MF,NC,no,,NO,40.09,40.09,CMUD,CMUD,YES,125,"99,100",Wedge,Central,Howard_John,Dhindaw_Jaya,Keplinger_Tammie,YES,Yes,2007/11/13 00:00:00+00,2012/01/17 00:00:00+00,Den,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2008Petitions/Pages/2008-032.aspx,,,,,,,,,,,,,,,,,,1689850.9270629883,10609.921214096972,"{'lng': -80.8356936686557, 'lat': 35.18160022187031}"
565770,2002-089,,R-3,MX-2,,no,,,,,,,,,,,,,,,,,,2002/11/18 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-089%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,1851743.5915527344,6631.362724400742,"{'lng': -80.78380549816235, 'lat': 35.38375570253282}"
565771,2008-136,Urban Active Fitness Clubs,CC,CC,CD,SPA,,,3.35,3.35,CMUD,CMUD,YES,176,474,Center,South,Suttle_Bryman,Dhindaw_Jaya,Fortune_Solomon,YES,,2008/07/25 00:00:00+00,2008/11/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,163101.04516601562,1801.0565843024824,"{'lng': -80.84444622551499, 'lat': 35.06910414228137}"
565772,1994-025(C),,"R-3, O-1",I-2(CD),,no,,,,,,,,,,,,,,,,,,1994/08/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1538155.9804077148,6501.397086077067,"{'lng': -80.6162522403163, 'lat': 35.22723136178664}"
565773,2014-024,Stonehunt Development LLC,UR-2(CD),UR-2(CD),CD,SPA,none,NO,6.76,6.76,CMUD,CMUD,YES,111,,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Sanders_Sonja,YES,YES,2013/12/23 00:00:00+00,2014/04/28 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-024.aspx,NO,Resid8,,,,,,,,,,,,,,,,256810.85778808594,3016.5499313943155,"{'lng': -80.8306473490854, 'lat': 35.20840575699613}"
565774,2019-102,City of Charlotte,CC,TOD-TR,NC,no,none,NO,1772.0,1772.0,CMUD,CMUD,YES,157,,Corridor,South,Scott Correll,Grant Meacci,John Kinley,,,2019/07/17 08:20:45+00,2019/11/18 08:21:04+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,3670418.0892333984,13015.963693325915,"{'lng': -80.87619718211195, 'lat': 35.106388838756644}"
565775,2004-107,The Charlotte-Mecklenburg Planning Commission,I-2,I-2,NC,no,PED,,3.8195,0.0,CMUD,CMUD,YES,101,94,,Southeast-Transit,Johnson_Garet, ,Waldron_Charlotte,YES, ,2004/06/18 00:00:00+00,2004/11/15 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,166379.4214477539,1862.306070456677,"{'lng': -80.81644494261026, 'lat': 35.21859682471124}"
565776,2005-094,Samaritan's Purse,I-1(CD),I-1(CD),CD,SPA,,,19.914,18.56,CMUD,CMUD,YES,148,167,,Southwest,Lyte-Graham_Claire,Vincent_Kourtnie,Manes_Tim,YES,,2005/03/21 00:00:00+00,2005/07/18 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2005/2005-094%20Approved%20Site%20Plan.pdf,,,,,,,,,,,,,,,,,,867453.0059204102,4424.955691652158,"{'lng': -80.89640785198416, 'lat': 35.143405141827415}"
565777,1999-062C,,B-1,R-4,,no,,,,,,,,,,,,,,,,,,1999/06/21 00:00:00+00,App,,,,,,,,,,,,,,,,,,,13446.470947265625,483.6885316872908,"{'lng': -80.79071217024453, 'lat': 35.20902505177816}"
