,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
11,3,2014,Weekley Homes LP,R-5,UR-2(CD),CD,no,NO,1.02,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Lyte-Graham_Claire,2013/10/28 00:00:00+00,2014/04/14 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
12,3,2014,"Marsh Euclid Apartments, LLC",O-2,TOD-MO,CD,SPA,NO,2.99,CMUD,CMUD,YES,Corridor,South,Main_Kent,Goodwin_Alan,,2014/03/24 00:00:00+00,2014/07/21 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
13,3,2014,Weekley Homes LP,MUDD(CD),UR-2(CD),CD,no,NO,1.02,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Lyte-Graham_Claire,2013/10/28 00:00:00+00,2014/04/14 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
14,3,2015,Meeting Street Homes & Communities,B-1,MUDD(CD),CD,no,NO,0.419,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,,2014/11/21 00:00:00+00,2015/06/22 00:00:00+00,App,,3118.0,,66.0,,4.0,,37.3,,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
15,3,2018,Suncap Property Group LLC,R-8,R-8(CD),CD,no,NO,1.75,CMUD,CMUD,YES,Wedge,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2018/12/14 13:50:53+00,2019/09/16 08:21:47+00,App,,4611.0,,78.0,,,,38.8,163.0,,,,,,,3991.0,,67.0,2.4,8.0,9758.0,,1.48,2.1
16,3,2019,"White Point Partners, LLC",B-1,TOD-UC,NC,no,NO,1.2,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2019/02/06 11:15:43+00,2019/06/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
17,3,2014,"New Carolina Income Properties, LLC",UR-2(CD),TOD-R(CD),CD,no,NO,0.4,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,,2013/11/25 00:00:00+00,2014/03/17 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
18,3,2014,Pulte Home Corporation,B-2,UR-2(CD),CD,no,NO,2.91,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2014/04/28 00:00:00+00,,Den,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
19,3,2017,ABW Charlotte,B-1,TOD-M(O),CD,no,NO,0.529,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/09/22 00:00:00+00,2018/01/26 00:00:00+00,App,,3349.0,,78.0,,6.0,,38.6,,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,,25.0,2.4,8.0,8816.0,,1.48,2.1
20,3,2016,MDV Engineering,O-2,MUDD(O),CD,no,NO,0.21,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2016/03/28 00:00:00+00,,Wd,3.0,3113.0,80.2,66.0,6.9,,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,,76.0,2.4,7.0,7986.0,,1.48,2.2
21,3,2018,Suncap Property Group LLC,R-22MF,MUDD(CD),CD,no,NO,1.75,CMUD,CMUD,YES,Wedge,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2018/12/14 13:50:53+00,2019/09/16 08:22:16+00,App,,4611.0,,78.0,,,,38.8,163.0,,,,,,,3991.0,,67.0,2.4,8.0,9758.0,,1.48,2.1
22,3,2020,"Bridgewood Houston Property Company, LP",MUDD-O,MUDD-O,CD,SPA,NO,1.379,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2020/02/06 11:40:40+00,2020/07/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
23,3,2014,"Marsh Euclid Apartments, LLC",TOD-MO,TOD-MO,CD,SPA,NO,2.99,CMUD,CMUD,YES,Corridor,South,Main_Kent,Goodwin_Alan,,2014/03/24 00:00:00+00,2014/07/21 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
24,3,2017,Mecklenburg County,B-2,MUDD,NC,no,NO,2.82,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/02/22 00:00:00+00,2017/05/15 00:00:00+00,App,,3349.0,,78.0,,6.0,,38.6,,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,,25.0,2.4,8.0,8816.0,,1.48,2.1
25,3,2017,South 48. LLC,B-2,TOD-M,NC,no,NO,1.4,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Alan Goodwin,Solomon Fortune,2017/10/23 00:00:00+00,2018/02/19 00:00:00+00,App,,3349.0,,78.0,,6.0,,38.6,,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,,25.0,2.4,8.0,8816.0,,1.48,2.1
26,3,2014,"New Carolina Income Properties, LLC",UR-2(CD),TOD-RO,CD,no,NO,0.75,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,,2014/06/23 00:00:00+00,2014/11/17 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
27,3,2014,Pulte Home Corporation,R-5,UR-2(CD),CD,no,NO,2.91,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2014/04/28 00:00:00+00,,Den,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
28,3,2019,"Pacific National Group, LLC",B-1,TOD-UC,NC,no,NO,0.32,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Claire Lyte-Graham,2019/05/09 00:00:00+00,2019/10/21 08:58:48+00,App,,,,,,,,,,,,,,,,,,,,,,,,
29,3,2019,The Charlotte-Mecklenburg Hospital Authority,O-2,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Corridor,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
30,3,2016,"Rockwell Capital, LLC",R-5 ,UR-3(CD),CD,no,NO,2.71,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/10/26 00:00:00+00,2016/04/18 00:00:00+00,App,3.0,3113.0,80.2,66.0,6.9,,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,,76.0,2.4,7.0,7986.0,,1.48,2.2
31,3,2017,"Pappas Properties, LLC",B-2,O-2(PED),NC,no,NO,0.93,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2016/10/24 00:00:00+00,2017/02/20 00:00:00+00,App,,3349.0,,78.0,,6.0,,38.6,,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,,25.0,2.4,8.0,8816.0,,1.48,2.1
32,3,2015,"Selwyn Property Group Investments, LLC",R-22MF,UR-2(CD),CD,no,NO,0.4,CMUD,CMUD,YES,Wedge,,Cornett_Kathy,Dixon_Bridget,Fortune_Solomon,2015/04/27 00:00:00+00,2015/09/21 00:00:00+00,App,,3118.0,,66.0,,4.0,,37.3,,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
33,3,2019,The Charlotte-Mecklenburg Hospital Authority,R-22MF,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
34,3,2014,"The Raininer Group, LLC",TOD-R(CD),TOD-M(CD),CD,no,NO,1.28,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,,2013/06/24 00:00:00+00,2014/03/17 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
35,3,2016,"YMCA of Greater Charlotte, Inc.",O-2,TOD-MO,CD,no,NO,1.03,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2016/02/22 00:00:00+00,2016/06/20 00:00:00+00,App,3.0,3113.0,80.2,66.0,6.9,,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,,76.0,2.4,7.0,7986.0,,1.48,2.2
36,3,2018,CitiSculpt,O-2,MUDD-O,CD,no,NO,0.49,,,YES,Corridor,Central,Julia Lund,Grant Meacci,Solomon Fortune,2018/02/26 00:00:00+00,2018/07/16 00:00:00+00,App,,4611.0,,78.0,,,,38.8,163.0,,,,,,,3991.0,,67.0,2.4,8.0,9758.0,,1.48,2.1
37,3,2019,The Charlotte-Mecklenburg Hospital Authority,O-6(CD),MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
38,3,2015,"Lat Purser & Associates, Inc.",R-22MF,TOD-M(O),CD,no,NO,0.52,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/07/24 00:00:00+00,2015/11/16 00:00:00+00,App,,3118.0,,66.0,,4.0,,37.3,,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
39,3,2019,The Charlotte-Mecklenburg Hospital Authority,B-2,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Corridor,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
40,3,2020,Five Hundred One Associates LL,UMUD,TOD-UC,NC,no,NO,0.759,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2020/01/16 07:32:48+00,2020/07/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
41,3,2020,Five Hundred One Associates LL,B-1,TOD-UC,NC,no,NO,0.759,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2020/01/16 07:32:48+00,,App,,,,,,,,,,,,,,,,,,,,,,,,
42,3,2014,Jeff Tonidandel,B-1(CD),B-1(PED-O),CD,no,NO,0.28,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Jones_Michelle,Sanders_Sonja,2013/11/22 00:00:00+00,,Wd,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
43,3,2015,YMCA of Greater Charlotte,B-1,MUDD-O,CD,no,NO,4.4,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,Fortune_Solomon,2015/04/27 00:00:00+00,2015/09/21 00:00:00+00,App,,3118.0,,66.0,,4.0,,37.3,,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
44,3,2019,The Charlotte-Mecklenburg Hospital Authority,R-5,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
45,3,2019,JD Brooks,B-1,TOD-UC,NC,no,NO,0.15,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Claire Lyte-Graham,2019/04/17 09:50:45+00,2019/09/16 08:48:18+00,App,,,,,,,,,,,,,,,,,,,,,,,,
46,3,2017,"Urban Investments, LLC",O-2,TOD-M,NC,no,NO,0.16,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Goodwin_Alan,Fortune_Solomon,2017/06/02 00:00:00+00,2017/10/16 00:00:00+00,App,,3349.0,,78.0,,6.0,,38.6,,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,,25.0,2.4,8.0,8816.0,,1.48,2.1
47,3,2014,"NORCO, LLC",O-2,MUDD-O,CD,no,NO,0.21,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,Lyte-Graham_Claire,2014/09/22 00:00:00+00,,Wd,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
48,4,2016,"Simonini Saratoga Foxcroft, LLC",R-3,UR-2(CD),CD,no,NO,6.32,CMUD,CMUD,YES,Wedge,South,Main_Kent,Grant Meacci,John Kinley,2016/04/21 00:00:00+00,,Den,0.0,52.0,70.6,13.0,5.9,,76.0,20,267.0,79.5,100.0,96.15,85.7,66.7,2.0,695.0,,86.0,4.3,3.0,1080.0,,1.17,1.8
49,6,2019,Amerco Real Estate Company,B-1 SCD,B-D (CD),CD,no,NO,6.19,CMUD,CMUD,NO,Corridor,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/01/28 10:15:37+00,,Wd,,,,,,,,,,,,,,,,,,,,,,,,
50,6,2019,Amerco Real Estate Company,B-1 SCD,B-2 (CD),CD,no,NO,6.19,CMUD,CMUD,NO,Corridor,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/01/28 10:15:37+00,,Wd,,,,,,,,,,,,,,,,,,,,,,,,
51,6,2019,Freedom Communities,R-5,UR-2(CD),CD,no,NO,1.67,CMUD,CMUD,YES,Wedge,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/12/11 11:49:25+00,2020/05/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
52,6,2019,Kennedy Howard,B-1,MUDD-O,CD,no,NO,0.268,CMUD,CMUD,YES,Wedge,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/09/17 11:14:11+00,2020/03/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
53,7,2015,Chidress Klein,R-3,MUDD-O,CD,no,NO,7.1,CMUD,CMUD,YES,Mixed Use Activity Center,South,Main_Kent,Dixon_Bridget,John Kinley,2015/03/20 00:00:00+00,2016/03/21 00:00:00+00,App,,199.0,,47.0,,,,26.5,,97.18,100.0,94.4444444444444,100.0,,1.40845070422535,399.0,1.0,43.0,2.2,2.0,1310.0,30.0,1.19,1.5
54,7,2015,Chidress Klein,B-1SCD,MUDD-O,CD,no,NO,7.1,CMUD,CMUD,YES,Mixed Use Activity Center,South,Main_Kent,Dixon_Bridget,John Kinley,2015/03/20 00:00:00+00,2016/03/21 00:00:00+00,App,,199.0,,47.0,,,,26.5,,97.18,100.0,94.4444444444444,100.0,,1.40845070422535,399.0,1.0,43.0,2.2,2.0,1310.0,30.0,1.19,1.5
55,7,2015,Chidress Klein,R-3,MUDD-O,CD,no,NO,1.53,CMUD,CMUD,YES,Mixed Use Activity Center,South,Main_Kent,Dixon_Bridget,John Kinley,2015/03/20 00:00:00+00,2016/03/21 00:00:00+00,App,,199.0,,47.0,,,,26.5,,97.18,100.0,94.4444444444444,100.0,,1.40845070422535,399.0,1.0,43.0,2.2,2.0,1310.0,30.0,1.19,1.5
56,7,2019,2901 LLC,O-6(CD),MUDD-O,CD,no,NO,1.12,CMUD,CMUD,YES,Mixed Use Activity Center,South,Scott Correll,Grant Meacci,John Kinley,2019/11/22 07:42:42+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
57,8,2014,"Center for Healthy Living, Inc. dba The Ivey",INST(CD),UR-C,CD,no,NO,1.36,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,2013/11/22 00:00:00+00,2014/03/17 00:00:00+00,App,0.0,127.0,90.7,12.0,4.7,20.0,85.0,,124.0,33.33,,81.81818181818183,71.42857142857143,,10.76923076923077,583.0,3.0,58.0,,,,11.0,,
58,8,2014,"Center for Healthy Living, Inc. dba The Ivey",R-3,UR-C,CD,no,NO,0.72,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,2013/11/22 00:00:00+00,2014/03/17 00:00:00+00,App,0.0,127.0,90.7,12.0,4.7,20.0,85.0,,124.0,33.33,,81.81818181818183,71.42857142857143,,10.76923076923077,583.0,3.0,58.0,,,,11.0,,
59,8,2014,"Crossroads Realty Group, LLC",R-3,UR-2(CD),CD,no,NO,2.6,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,2014/06/18 00:00:00+00,2014/12/15 00:00:00+00,App,0.0,127.0,90.7,12.0,4.7,20.0,85.0,,124.0,33.33,,81.81818181818183,71.42857142857143,,10.76923076923077,583.0,3.0,58.0,,,,11.0,,
60,10,2018,Michael Loeb,R-5,R-8(CD),CD,no,NO,0.33,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/08/23 00:00:00+00,2018/12/17 00:00:00+00,App,,1036.0,,65.0,,,,22.7,101.0,,,,,,,1070.0,,58.0,2.9,7.0,3814.0,,1.36,1.7
61,10,2019,James Doyle,B-1,NS,CD,no,NO,0.37,CMUD,CMUD,YES,Wedge,East,Travis Johnson,Grant Meacci,Will Linville,2019/11/06 07:26:39+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
62,10,2016,BWN Investments LLC,B-1,B-2(CD),CD,no,NO,1.53,CMUD,CMUD,YES,Wedge,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/03/28 00:00:00+00,,Wd,1.8,1246.0,60.2,78.0,12.4,,69.0,22.3,106.0,66.4,71.0,31.31,27.3,33.3,17.0,1510.0,,70.0,2.9,7.0,3785.0,,1.35,1.7
63,10,2018,Michael Melton,B-1(CD),B-1,NC,no,NO,0.37,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/02/21 00:00:00+00,2018/06/18 00:00:00+00,App,,1036.0,,65.0,,,,22.7,101.0,,,,,,,1070.0,,58.0,2.9,7.0,3814.0,,1.36,1.7
64,10,2018,Michael Loeb,R-4,R-5,NC,no,NO,0.35,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/02/06 00:00:00+00,2018/06/18 00:00:00+00,App,,1036.0,,65.0,,,,22.7,101.0,,,,,,,1070.0,,58.0,2.9,7.0,3814.0,,1.36,1.7
65,11,2015,"PRSC Holdings (Edens), LLC",B-1,NS,CD,no,NO,1.14,CMUD,CMUD,YES,Mixed Use Activity Center,Central,Gonzalez_Alberto,Dixon_Bridget,Fortune_Solomon,2015/03/20 00:00:00+00,2015/07/20 00:00:00+00,App,,675.0,,55.0,,1.0,,27.2,,69.81,100.0,88.0434782608696,95.74,85.71,1.8796992481203,539.0,2.0,33.0,3.8,5.0,2623.0,67.0,1.2,1.7
66,11,2017,"Hopper Communities, Inc.",R-4,UR-2 (CD),CD,no,NO,0.86,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/02/24 00:00:00+00,2017/07/17 00:00:00+00,App,,772.0,,59.0,,1.0,,28,,70.0,100.0,89.9,85.5,,3.0,821.0,,39.0,3.8,5.0,2651.0,,1.2,1.7
67,11,2018,The Drakeford Company,R-22MF,NS,CD,no,NO,0.87,CMUD,CMUD,YES,Wedge,Central,Julia Lund,Grant Meacci,Solomon Fortune,2018/02/23 00:00:00+00,2018/09/24 00:00:00+00,App,,745.0,,59.0,,,,28.4,174.0,,,,,,,1457.0,,77.0,3.8,5.0,2695.0,,1.2,1.7
68,11,2017,"Hopper Communities, Inc.",R-5,UR-2 (CD),CD,no,NO,0.86,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/02/24 00:00:00+00,2017/07/17 00:00:00+00,App,,772.0,,59.0,,1.0,,28,,70.0,100.0,89.9,85.5,,3.0,821.0,,39.0,3.8,5.0,2651.0,,1.2,1.7
69,14,2018,"JDSI, LLC",R-3,R-4,NC,no,NO,1.34,CMUD,CMUD,YES,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/08/13 00:00:00+00,2019/01/22 10:31:14+00,App,,960.0,,60.0,,,,20.6,138.0,,,,,,,1146.0,,62.0,6.1,9.0,3761.0,,1.09,1.3
70,15,2014,"Sardis Road Land Company, LLC",INST(CD),UR-1(CD),CD,no,NO,5.05,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Fortune_Solomon,2014/03/21 00:00:00+00,2014/07/28 00:00:00+00,App,0.0,0.0,85.7,0.0,4.8,5.0,73.0,,158.0,57.96,91.0,72.22222222222221,62.16216216216216,,5.590062111801243,862.0,4.0,63.0,,,,,,
